FEW: (607, 3) |a02691156_14161a05a21cbd6f62b600da24e0965_0|
FEW: (705, 3) |a02691156_1af4b32eafffb0f7ee60c37cbf99c1c_0|
FEW: (977, 3) |a02691156_1f08b579e153b2de313f9af5275b7c70_0|
FEW: (955, 3) |a02691156_3826bf5c55ee469cec4dff11e684b695_0|
FEW: (814, 3) |a02691156_3ad337dcef167024fe6302fece358e4a_0|
FEW: (653, 3) |a02691156_472e6c2a77198432e1211756a8e887aa_0|
FEW: (656, 3) |a02691156_472e6c2a77198432e1211756a8e887aa_1|
FEW: (447, 3) |a02691156_60b5f5da40e0dd33579f6385fdd4245b_0|
FEW: (964, 3) |a02691156_617a3d4bb40402679c411d305417ef6c_0|
FEW: (673, 3) |a02691156_688930b9d0e06ead9a6e43b878d5b335_0|
FEW: (700, 3) |a02691156_6dedeb5b87ee318b2154ead1f7ab03aa_0|
FEW: (979, 3) |a02691156_7175100f99a61c9646322bce65ca3756_0|
FEW: (788, 3) |a02691156_8264f874bc7fa58ac3d9e92d9c33325b_0|
FEW: (297, 3) |a02691156_a69c25f93540eaed6370c33da8a7988f_0|
FEW: (333, 3) |a02691156_a7394a6f2dcf8e9b3cbb132878a747df_0|
FEW: (989, 3) |a02691156_a849d4325008fbea85dfb1711fe4ff6d_0|
FEW: (834, 3) |a02691156_ab35aa631852d30685dfb1711fe4ff6d_0|
FEW: (966, 3) |a02691156_caf80ecbad22a7384e1799d9d4d697c3_0|
FEW: (961, 3) |a02691156_caf80ecbad22a7384e1799d9d4d697c3_1|
FEW: (910, 3) |a02691156_cc40acee83422fe892b90699bc4724f9_0|
FEW: (832, 3) |a02691156_d8a037897d5d5b108130971b27e95927_0|
FEW: (687, 3) |a02691156_e87902d01d40c71521b1ceea9c93aa79_0|
FEW: (719, 3) |a02691156_e87902d01d40c71521b1ceea9c93aa79_1|
FEW: (819, 3) |a02691156_f96426f2392abb1d8d58389384d9812e_0|
FEW: (230, 3) |a02691156_fdcb11fa39661f0fb08f81d66e854bfa_0|
